aliases,industries,countries,software,malware,vulns,targeted_products,attacks
,,,,,,License Server Vpx,T1574
,,,,,,AltaVault,T1574.001
,,,,,,System X 3650,T1574.002
,,,,,,XenClient XT,T1583
,,,,,,BIG-IP Link Controller,T1583.003
,,,,,,Windows 2003 Server (OS),T1584
,,,,,,Xp P9500 Disk Array Oss 70-06-00/00,T1587
,,,,,,T620 Thin Client,T1587.002
,,,,,,FortiMail,T1588
,,,,,,Big-Ip Edge Clients for Apple iOS,T1588.003
,,,,,,Ehealth,T1588.004
,,,,,,Nonstop Volume Level Encryption J06.14.01,T1595
,,,,,,Unified IP Phone 8900,T1595.001
,,,,,,Dcs-5615,
,,,,,,D125 Copier/Printer,
,,,,,,Systems Director Storage Control,
,,,,,,Dynamic System Analysis,
,,,,,,Hp Officejet Pro X576Dw,
,,,,,,Email And Server Security 11,
,,,,,,SQL Server,
,,,,,,Horizon Workspace Server,
,,,,,,Emc Data Protection Central,
,,,,,,Red Hat Enterprise Linux Server AUS,
,,,,,,Protection Service For Email,
,,,,,,Imail Premium,
,,,,,,Mysql Connector/C,
,,,,,,Windows 10,
,,,,,,Elan,
,,,,,,Digi Embedded Yocto,
,,,,,,Sybase Enterpriseconnect Data Access,
,,,,,,General Parallel File System,
,,,,,,Freeflow Print Server,
,,,,,,Windows Rt 8.1,
,,,,,,Smart Analytics System 5600 (Application),
,,,,,,T5565 Thin Client,
,,,,,,Version Control Repository Manager,
,,,,,,Multi-Domain Management/Provider-1 NGX,
,,,,,,Uim Configuration Pack,
,,,,,,Oracle Communications Application Session Controller,
,,,,,,Puredata System For Analytics,
,,,,,,Receiver for Blackberry,
,,,,,,Loadrunner,
,,,,,,Tivoli Composite Application Manager For Transactions,
,,,,,,Windows 8,
,,,,,,Smart Update Manager,
,,,,,,Moveit Cloud,
,,,,,,Windows RT,
,,,,,,Security Privileged Identity Manager,
,,,,,,Security Appscan Enterprise,
,,,,,,Digi Embedded Linux,
,,,,,,Exactamix Em2400,
,,,,,,Storage Manager,
,,,,,,Word,
,,,,,,Big-Ip Access Policy Manager,
,,,,,,Airport Base Station,
,,,,,,Contact Center Manager Administration,
,,,,,,Ibm Endpoint Manager For Remote Control,
,,,,,,Storage (Application),
,,,,,,Uim Integrated Installer,
,,,,,,Odyssey Access Client,
,,,,,,Fortios,
,,,,,,Scopia,
,,,,,,Anyconnect Secure Mobility Client,
,,,,,,Fortiauthenticator,
,,,,,,Aura System Manager,
,,,,,,SCADA Data Gateway,
,,,,,,Flashsystem 840,
,,,,,,Performance Center,
,,,,,,Laserjet Pro M435Nw,
,,,,,,WinCC Open Architecture,
,,,,,,Rational Requisitepro,
,,,,,,Enterprise Linux Server (OS),
,,,,,,Aura Session Manager,
,,,,,,Oracle Communications Webrtc Session Controller,
,,,,,,Unified IP Phone 9900,
,,,,,,Messaging Gateway,
,,,,,,Updatexpress System Packs Installer,
,,,,,,DesktopPlayer for Mac,
,,,,,,Arcserve Replication,
,,,,,,Windows 8.1 (OS),
,,,,,,Big-IP AFM,
,,,,,,Sybase Powerdesigner,
,,,,,,Ts3000,
,,,,,,Mysql Connector/Odbc,
,,,,,,Tealeaf Cxconnect For Voice Of Customers,
,,,,,,Manageability SDK (Application),
,,,,,,Android,
,,,,,,San Volume Controller (Application),
